"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"ID"
"1"	5.1	3.5	1.4	0.2	"setosa"	1
"2"	4.9	3	1.4	0.2	"setosa"	2
"3"	4.7	3.2	1.3	0.2	"setosa"	3
"4"	4.6	3.1	1.5	0.2	"setosa"	4
"5"	5	3.6	1.4	0.2	"setosa"	5
"6"	5.4	3.9	1.7	0.4	"setosa"	6
"7"	4.6	3.4	1.4	0.3	"setosa"	7
"8"	5	3.4	1.5	0.2	"setosa"	8
"9"	4.4	2.9	1.4	0.2	"setosa"	9
"10"	4.9	3.1	1.5	0.1	"setosa"	10
"11"	5.4	3.7	1.5	0.2	"setosa"	11
"12"	4.8	3.4	1.6	0.2	"setosa"	12
"13"	4.8	3	1.4	0.1	"setosa"	13
"14"	4.3	3	1.1	0.1	"setosa"	14
"15"	5.8	4	1.2	0.2	"setosa"	15
"16"	5.7	4.4	1.5	0.4	"setosa"	16
"17"	5.4	3.9	1.3	0.4	"setosa"	17
"18"	5.1	3.5	1.4	0.3	"setosa"	18
"19"	5.7	3.8	1.7	0.3	"setosa"	19
"20"	5.1	3.8	1.5	0.3	"setosa"	20
"21"	5.4	3.4	1.7	0.2	"setosa"	21
"22"	5.1	3.7	1.5	0.4	"setosa"	22
"23"	4.6	3.6	1	0.2	"setosa"	23
"24"	5.1	3.3	1.7	0.5	"setosa"	24
"25"	4.8	3.4	1.9	0.2	"setosa"	25
"26"	5	3	1.6	0.2	"setosa"	26
"27"	5	3.4	1.6	0.4	"setosa"	27
"28"	5.2	3.5	1.5	0.2	"setosa"	28
"29"	5.2	3.4	1.4	0.2	"setosa"	29
"30"	4.7	3.2	1.6	0.2	"setosa"	30
"31"	4.8	3.1	1.6	0.2	"setosa"	31
"32"	5.4	3.4	1.5	0.4	"setosa"	32
"33"	5.2	4.1	1.5	0.1	"setosa"	33
"34"	5.5	4.2	1.4	0.2	"setosa"	34
"35"	4.9	3.1	1.5	0.2	"setosa"	35
"36"	5	3.2	1.2	0.2	"setosa"	36
"37"	5.5	3.5	1.3	0.2	"setosa"	37
"38"	4.9	3.6	1.4	0.1	"setosa"	38
"39"	4.4	3	1.3	0.2	"setosa"	39
"40"	5.1	3.4	1.5	0.2	"setosa"	40
"41"	5	3.5	1.3	0.3	"setosa"	41
"42"	4.5	2.3	1.3	0.3	"setosa"	42
"43"	4.4	3.2	1.3	0.2	"setosa"	43
"44"	5	3.5	1.6	0.6	"setosa"	44
"45"	5.1	3.8	1.9	0.4	"setosa"	45
"46"	4.8	3	1.4	0.3	"setosa"	46
"47"	5.1	3.8	1.6	0.2	"setosa"	47
"48"	4.6	3.2	1.4	0.2	"setosa"	48
"49"	5.3	3.7	1.5	0.2	"setosa"	49
"50"	5	3.3	1.4	0.2	"setosa"	50
"51"	7	3.2	4.7	1.4	"versicolor"	51
"52"	6.4	3.2	4.5	1.5	"versicolor"	52
"53"	6.9	3.1	4.9	1.5	"versicolor"	53
"54"	5.5	2.3	4	1.3	"versicolor"	54
"55"	6.5	2.8	4.6	1.5	"versicolor"	55
"56"	5.7	2.8	4.5	1.3	"versicolor"	56
"57"	6.3	3.3	4.7	1.6	"versicolor"	57
"58"	4.9	2.4	3.3	1	"versicolor"	58
"59"	6.6	2.9	4.6	1.3	"versicolor"	59
"60"	5.2	2.7	3.9	1.4	"versicolor"	60
"61"	5	2	3.5	1	"versicolor"	61
"62"	5.9	3	4.2	1.5	"versicolor"	62
"63"	6	2.2	4	1	"versicolor"	63
"64"	6.1	2.9	4.7	1.4	"versicolor"	64
"65"	5.6	2.9	3.6	1.3	"versicolor"	65
"66"	6.7	3.1	4.4	1.4	"versicolor"	66
"67"	5.6	3	4.5	1.5	"versicolor"	67
"68"	5.8	2.7	4.1	1	"versicolor"	68
"69"	6.2	2.2	4.5	1.5	"versicolor"	69
"70"	5.6	2.5	3.9	1.1	"versicolor"	70
"71"	5.9	3.2	4.8	1.8	"versicolor"	71
"72"	6.1	2.8	4	1.3	"versicolor"	72
"73"	6.3	2.5	4.9	1.5	"versicolor"	73
"74"	6.1	2.8	4.7	1.2	"versicolor"	74
"75"	6.4	2.9	4.3	1.3	"versicolor"	75
"76"	6.6	3	4.4	1.4	"versicolor"	76
"77"	6.8	2.8	4.8	1.4	"versicolor"	77
"78"	6.7	3	5	1.7	"versicolor"	78
"79"	6	2.9	4.5	1.5	"versicolor"	79
"80"	5.7	2.6	3.5	1	"versicolor"	80
"81"	5.5	2.4	3.8	1.1	"versicolor"	81
"82"	5.5	2.4	3.7	1	"versicolor"	82
"83"	5.8	2.7	3.9	1.2	"versicolor"	83
"84"	6	2.7	5.1	1.6	"versicolor"	84
"85"	5.4	3	4.5	1.5	"versicolor"	85
"86"	6	3.4	4.5	1.6	"versicolor"	86
"87"	6.7	3.1	4.7	1.5	"versicolor"	87
"88"	6.3	2.3	4.4	1.3	"versicolor"	88
"89"	5.6	3	4.1	1.3	"versicolor"	89
"90"	5.5	2.5	4	1.3	"versicolor"	90
"91"	5.5	2.6	4.4	1.2	"versicolor"	91
"92"	6.1	3	4.6	1.4	"versicolor"	92
"93"	5.8	2.6	4	1.2	"versicolor"	93
"94"	5	2.3	3.3	1	"versicolor"	94
"95"	5.6	2.7	4.2	1.3	"versicolor"	95
"96"	5.7	3	4.2	1.2	"versicolor"	96
"97"	5.7	2.9	4.2	1.3	"versicolor"	97
"98"	6.2	2.9	4.3	1.3	"versicolor"	98
"99"	5.1	2.5	3	1.1	"versicolor"	99
"100"	5.7	2.8	4.1	1.3	"versicolor"	100
"101"	6.3	3.3	6	2.5	"virginica"	101
"102"	5.8	2.7	5.1	1.9	"virginica"	102
"103"	7.1	3	5.9	2.1	"virginica"	103
"104"	6.3	2.9	5.6	1.8	"virginica"	104
"105"	6.5	3	5.8	2.2	"virginica"	105
"106"	7.6	3	6.6	2.1	"virginica"	106
"107"	4.9	2.5	4.5	1.7	"virginica"	107
"108"	7.3	2.9	6.3	1.8	"virginica"	108
"109"	6.7	2.5	5.8	1.8	"virginica"	109
"110"	7.2	3.6	6.1	2.5	"virginica"	110
"111"	6.5	3.2	5.1	2	"virginica"	111
"112"	6.4	2.7	5.3	1.9	"virginica"	112
"113"	6.8	3	5.5	2.1	"virginica"	113
"114"	5.7	2.5	5	2	"virginica"	114
"115"	5.8	2.8	5.1	2.4	"virginica"	115
"116"	6.4	3.2	5.3	2.3	"virginica"	116
"117"	6.5	3	5.5	1.8	"virginica"	117
"118"	7.7	3.8	6.7	2.2	"virginica"	118
"119"	7.7	2.6	6.9	2.3	"virginica"	119
"120"	6	2.2	5	1.5	"virginica"	120
"121"	6.9	3.2	5.7	2.3	"virginica"	121
"122"	5.6	2.8	4.9	2	"virginica"	122
"123"	7.7	2.8	6.7	2	"virginica"	123
"124"	6.3	2.7	4.9	1.8	"virginica"	124
"125"	6.7	3.3	5.7	2.1	"virginica"	125
"126"	7.2	3.2	6	1.8	"virginica"	126
"127"	6.2	2.8	4.8	1.8	"virginica"	127
"128"	6.1	3	4.9	1.8	"virginica"	128
"129"	6.4	2.8	5.6	2.1	"virginica"	129
"130"	7.2	3	5.8	1.6	"virginica"	130
"131"	7.4	2.8	6.1	1.9	"virginica"	131
"132"	7.9	3.8	6.4	2	"virginica"	132
"133"	6.4	2.8	5.6	2.2	"virginica"	133
"134"	6.3	2.8	5.1	1.5	"virginica"	134
"135"	6.1	2.6	5.6	1.4	"virginica"	135
"136"	7.7	3	6.1	2.3	"virginica"	136
"137"	6.3	3.4	5.6	2.4	"virginica"	137
"138"	6.4	3.1	5.5	1.8	"virginica"	138
"139"	6	3	4.8	1.8	"virginica"	139
"140"	6.9	3.1	5.4	2.1	"virginica"	140
"141"	6.7	3.1	5.6	2.4	"virginica"	141
"142"	6.9	3.1	5.1	2.3	"virginica"	142
"143"	5.8	2.7	5.1	1.9	"virginica"	143
"144"	6.8	3.2	5.9	2.3	"virginica"	144
"145"	6.7	3.3	5.7	2.5	"virginica"	145
"146"	6.7	3	5.2	2.3	"virginica"	146
"147"	6.3	2.5	5	1.9	"virginica"	147
"148"	6.5	3	5.2	2	"virginica"	148
"149"	6.2	3.4	5.4	2.3	"virginica"	149
"150"	5.9	3	5.1	1.8	"virginica"	150
"151"	5.1	3.5	1.4	0.2	"setosa"	151
"152"	4.9	3	1.4	0.2	"setosa"	152
"153"	4.7	3.2	1.3	0.2	"setosa"	153
"154"	4.6	3.1	1.5	0.2	"setosa"	154
"155"	5	3.6	1.4	0.2	"setosa"	155
"156"	5.4	3.9	1.7	0.4	"setosa"	156
"157"	4.6	3.4	1.4	0.3	"setosa"	157
"158"	5	3.4	1.5	0.2	"setosa"	158
"159"	4.4	2.9	1.4	0.2	"setosa"	159
"160"	4.9	3.1	1.5	0.1	"setosa"	160
"161"	5.4	3.7	1.5	0.2	"setosa"	161
"162"	4.8	3.4	1.6	0.2	"setosa"	162
"163"	4.8	3	1.4	0.1	"setosa"	163
"164"	4.3	3	1.1	0.1	"setosa"	164
"165"	5.8	4	1.2	0.2	"setosa"	165
"166"	5.7	4.4	1.5	0.4	"setosa"	166
"167"	5.4	3.9	1.3	0.4	"setosa"	167
"168"	5.1	3.5	1.4	0.3	"setosa"	168
"169"	5.7	3.8	1.7	0.3	"setosa"	169
"170"	5.1	3.8	1.5	0.3	"setosa"	170
